Code,Name,Close,Changes,ChagesRatio,Volume,Marcap,ROA,PER
005930,삼성전자,72800,0,0.0,11105143,434600169640000,2.7,14.54
373220,LG에너지솔루션,442000,-5000,-1.12,136059,103428000000000,4.6,73.28
000660,SK하이닉스,131300,-700,-0.53,2128566,95586710524500,-10.1,-7.27
207940,삼성바이오로직스,721000,-1000,-0.14,29844,51316454000000,4.7,64.13
005935,삼성전자우,56900,-600,-1.04,1012420,46822253230000,,14.54
005490,POSCO홀딩스,472000,-2000,-0.42,314942,39917620560000,2.9,36.53
005380,현대차,183000,-1200,-0.65,219027,38710265598000,5.0,4.6
051910,LG화학,504000,3000,0.6,137990,35578540872000,3.5,29.83
035420,NAVER,207500,3000,1.47,357391,33699783255000,2.6,39.01
000270,기아,83100,-500,-0.6,730476,33409873269300,12.3,3.58
006400,삼성SDI,471500,5500,1.18,214222,32422475895000,6.6,17.04
068270,셀트리온,172300,100,0.06,374864,25225197271000,11.6,40.78
003670,포스코퓨처엠,303500,0,0.0,561263,23510087270000,2.6,344.22
247540,에코프로비엠,239500,-6000,-2.44,651438,23423421888000,6.0,148.63
035720,카카오,50300,1050,2.13,2467921,22358147291000,0.9,447.36
105560,KB금융,54500,400,0.74,573536,21991353424000,0.9,4.2
028260,삼성물산,118200,-500,-0.42,94566,21936935394000,4.7,8.78
012330,현대모비스,229500,-2000,-0.86,80745,21493844073000,6.5,6.65
055550,신한지주,36850,-100,-0.27,474085,18996329364650,0.8,3.94
086520,에코프로,700000,-25000,-3.45,327735,18639367600000,4.7,-417.93
066570,LG전자,107600,-800,-0.74,362536,17608504786400,2.8,10.27
096770,SK이노베이션,142300,100,0.07,210744,14323286757200,1.0,-60.25
032830,삼성생명,69600,100,0.14,80811,13920000000000,0.7,6.31
003550,LG,85100,-1400,-1.62,83501,13386314504300,6.0,12.64
091990,셀트리온헬스케어,75900,0,0.0,478524,12482872551600,3.3,240.2
323410,카카오뱅크,26000,0,0.0,1599398,12396985562000,0.8,35.04
033780,KT&G,91500,300,0.33,122382,12244758475500,8.6,16.16
086790,하나금융지주,41800,-100,-0.24,671653,12220505796400,0.7,3.02
000810,삼성화재,254000,5500,2.21,44417,12033208598000,2.9,6.85
034730,SK,163500,-500,-0.3,107312,11967926791500,-0.2,-11.77
015760,한국전력,18140,190,1.06,992240,11645228356780,-5.8,-0.64
138040,메리츠금융지주,55700,-100,-0.18,223409,11597734690600,2.6,3.97
017670,SK텔레콤,52000,-100,-0.19,416890,11379323488000,4.2,10.07
018260,삼성에스디에스,146400,600,0.41,69622,11328109920000,6.2,13.15
011200,HMM,16190,100,0.62,783247,11155549440240,3.6,3.77
329180,HD현대중공업,123500,5100,4.31,151739,10963479826000,0.0,-108.34
010130,고려아연,497000,2000,0.4,24860,10391568236000,3.8,16.92
009150,삼성전기,138000,300,0.22,123705,10307730048000,4.3,18.45
047050,포스코인터내셔널,57900,-1000,-1.7,609676,10185929425200,5.5,9.84
259960,크래프톤,208000,-1000,-0.48,80514,10059450544000,12.8,20.91
316140,우리금융지주,12700,-20,-0.16,717389,9549758154700,0.7,2.94
034020,두산에너빌리티,14610,-80,-0.54,1688901,9358598343060,3.1,-24.55
024110,기업은행,11680,-20,-0.17,438942,9313934149920,0.6,2.81
030200,KT,32950,-300,-0.9,336425,8496512042000,3.2,7.22
022100,포스코DX,55400,100,0.18,1506184,8422723986600,13.0,98.57
352820,하이브,200000,800,0.4,171638,8330419400000,6.2,128.57
003490,대한항공,22350,-250,-1.11,535508,8229731773350,4.7,5.96
010950,S-Oil,70100,0,0.0,125785,7892053719200,5.1,9.08
090430,아모레퍼시픽,132400,-2100,-1.56,105186,7744441291600,3.1,42.87
009540,HD한국조선해양,103000,1900,1.88,171973,7289630948000,-0.7,199.44
010140,삼성중공업,7960,250,3.24,6619664,7004800000000,0.6,-33.62
326030,SK바이오팜,89400,800,0.9,131275,7001204550000,-8.3,-74.95
402340,SK스퀘어,49050,-250,-0.51,233919,6817019815800,-5.1,-3.69
086280,현대글로비스,178700,-1000,-0.56,31801,6701250000000,8.2,6.37
011170,롯데케미칼,155600,-700,-0.45,63557,6655855196400,0.6,-115.65
450080,에코프로머티,91200,-5300,-5.49,14743137,6222298569600,2.7,
012450,한화에어로스페이스,120900,900,0.75,232575,6121167000000,6.1,7.48
377300,카카오페이,45500,650,1.45,188465,6102894616000,-0.5,125.43
011070,LG이노텍,255500,500,0.2,61518,6046945838500,2.7,13.83
042700,한미반도체,61700,200,0.33,1225169,6005834933400,62.0,14.56
042660,한화오션,27600,850,3.18,1260402,5985705812400,-5.5,-3.12
036570,엔씨소프트,272500,16500,6.45,217646,5982470995000,5.7,31.81
009830,한화솔루션,34000,-300,-0.87,743395,5844346224000,1.0,474.82
005830,DB손해보험,81300,400,0.49,158863,5756040000000,3.4,3.87
001570,금양,96800,-1900,-1.93,438661,5619243581600,-8.3,-123.29
161390,한국타이어앤테크놀로지,45050,100,0.22,191098,5580571858450,3.8,8.46
088980,맥쿼리인프라,12450,10,0.08,335125,5425477869750,,
051900,LG생활건강,344000,-3000,-0.86,56231,5372659768000,5.1,52.04
066970,엘앤에프,147300,-1800,-1.21,162110,5339304622500,1.9,51.7
302440,SK바이오사이언스,68400,-400,-0.58,60558,5252028746400,1.2,
028050,삼성엔지니어링,26150,350,1.36,470153,5125400000000,10.1,6.71
005070,코스모신소재,162400,100,0.06,62177,4977682774400,5.2,241.52
361610,SK아이이테크놀로지,69100,100,0.14,95765,4926663607200,2.1,289.22
097950,CJ제일제당,326000,500,0.15,35122,4907664636000,1.2,15.07
267250,HD현대,61000,800,1.33,163218,4818578185000,0.9,10.75
034220,LG디스플레이,13420,-240,-1.76,860597,4801886694000,-9.6,-1.0
004020,현대제철,35750,600,1.71,242773,4770686813750,2.4,13.36
000100,유한양행,61800,-600,-0.96,181325,4736269002600,2.5,61.81
307950,현대오토에버,171500,7200,4.38,156846,4703212913000,5.6,26.7
271560,오리온,117500,-2200,-1.84,87735,4645495510000,10.4,11.71
047810,한국항공우주,46750,700,1.52,328256,4556961252250,1.0,72.64
251270,넷마블,52700,100,0.19,110455,4529749555400,-2.0,-5.84
032640,LG유플러스,10360,-50,-0.48,709577,4523293699960,3.5,6.59
006800,미래에셋증권,7350,30,0.41,333037,4449075598800,0.7,9.83
241560,두산밥캣,43250,1200,2.85,295270,4335776429500,9.5,5.2
000720,현대건설,37050,-300,-0.8,333545,4125731093250,3.3,12.42
454910,두산로보틱스,63600,4000,6.71,11265423,4122550728000,-29.1,
028300,HLB,31100,-150,-0.48,420386,4012085946900,-12.4,-32.85
078930,GS,42750,-100,-0.23,48491,3972132409500,4.5,2.87
005387,현대차2우B,109300,-300,-0.27,41070,3947981252100,,4.6
018880,한온시스템,7230,20,0.28,253368,3859374000000,3.4,35.43
011790,SKC,101900,-900,-0.88,224098,3858779566200,-3.8,-7.99
029780,삼성카드,33000,-50,-0.15,47482,3823343403000,2.0,5.75
196170,알테오젠,73500,1800,2.51,1723789,3805154241000,5.1,585.61
128940,한미약품,301000,-5500,-1.79,19011,3781209558000,7.2,38.0
021240,코웨이,51200,0,0.0,48591,3778540492800,10.4,7.67
011780,금호석유,130300,-100,-0.08,66113,3719762573700,6.0,8.53
180640,한진칼,53600,100,0.19,33385,3578458154400,7.3,20.49
068760,셀트리온제약,89600,700,0.79,341497,3549077772800,5.7,96.19
016360,삼성증권,38700,-250,-0.64,112845,3455910000000,1.4,5.98
005940,NH투자증권,10390,10,0.1,130611,3446008919190,1.3,7.47
035900,JYP Ent.,96600,0,0.0,249396,3430989727200,29.7,34.76
383220,F&F,89300,-800,-0.89,65544,3420821797500,25.8,9.54
035250,강원랜드,15690,120,0.77,297006,3356726445000,9.3,13.43
071050,한국금융지주,58500,-300,-0.51,55940,3259970532000,1.2,4.23
010620,현대미포조선,80200,1900,2.43,133094,3203360349800,-0.8,-18.12
277810,레인보우로보틱스,161100,-6200,-3.71,727471,3122578423800,10.2,154.57
267260,HD현대일렉트릭,84600,-700,-0.82,175763,3049587621000,4.9,10.97
004990,롯데지주,29050,-300,-1.02,103698,3047613334850,1.6,-109.5
003410,쌍용C&E,6080,120,2.01,565120,3032077565440,-0.3,26.82
403870,HPSP,36650,50,0.14,744814,2974477350000,37.5,26.1
064350,현대로템,25900,150,0.58,814942,2826785388700,2.9,17.36
272210,한화시스템,14910,310,2.12,839785,2816788089990,9.6,8.94
058470,리노공업,184400,600,0.33,139468,2810693028000,20.1,25.6
006260,LS,85500,2500,3.01,381452,2753100000000,2.4,9.84
001450,현대해상,30650,200,0.66,187509,2740110000000,2.0,4.03
008770,호텔신라,68100,-400,-0.58,242479,2672797040100,8.6,50.13
263750,펄어비스,41250,-650,-1.55,268511,2650224018750,2.1,-36.34
007070,GS리테일,25200,50,0.2,81233,2638891634400,1.9,31.91
005385,현대차우,107700,-500,-0.46,45224,2596982916300,,4.6
001040,CJ,88500,500,0.57,75086,2582164323000,1.1,36.01
004370,농심,418000,0,0.0,25748,2542544356000,6.4,15.64
008930,한미사이언스,36000,-700,-1.91,59588,2518449840000,9.0,26.37
214150,클래시스,38750,250,0.65,223636,2510097202500,22.5,27.68
000990,DB하이텍,56100,-100,-0.18,120824,2490760786800,15.3,7.1
039490,키움증권,93300,-200,-0.21,27228,2446951669800,1.7,3.76
002790,아모레G,29450,-100,-0.34,95589,2428393401000,3.3,30.67
088350,한화생명,2790,55,2.01,2329286,2423198700000,0.9,2.18
081660,휠라홀딩스,39200,-50,-0.13,35419,2381487102400,6.2,9.8
051915,LG화학우,304500,-1000,-0.33,20780,2341239600000,,29.83
030000,제일기획,20300,0,0.0,178072,2335336867500,8.3,11.86
028670,팬오션,4340,40,0.93,3926412,2320031682080,3.9,7.53
282330,BGF리테일,132300,-2800,-2.07,44196,2286660763800,5.7,15.32
138930,BNK금융지주,7070,-60,-0.84,583532,2277165256660,0.7,2.98
012750,에스원,59800,1300,2.22,41541,2272350844400,8.4,13.47
010120,LS ELECTRIC,75400,4700,6.65,589531,2262000000000,6.2,15.54
023530,롯데쇼핑,79700,-400,-0.5,13591,2254613773500,1.1,-8.34
112610,씨에스윈드,53400,400,0.75,218176,2251952920200,3.3,139.8
293490,카카오게임즈,27250,500,1.87,308201,2248454125500,0.6,-9.38
052690,한전기술,57800,200,0.35,49937,2209116000000,4.0,62.57
036460,한국가스공사,23600,-150,-0.63,76465,2178586800000,-0.2,2.78
357780,솔브레인,279500,500,0.18,28866,2174109197000,16.6,13.49
041510,에스엠,91000,-200,-0.22,96678,2168611991000,11.9,23.12
139480,이마트,77500,300,0.39,97653,2160375972500,-0.3,10.58
175330,JB금융지주,10940,50,0.46,172093,2154992860360,1.1,2.75
000120,CJ대한통운,93500,1600,1.74,152348,2132954164000,2.3,9.84
014680,한솔케미칼,186900,3500,1.91,54171,2118547945500,9.2,15.71
039030,이오테크닉스,169300,8600,5.35,314782,2085699815000,7.4,49.37
020150,롯데에너지머티리얼즈,45100,100,0.22,137730,2079598658500,-4.2,-113.96
079550,LIG넥스원,93800,1600,1.74,158333,2063600000000,5.3,22.3
111770,영원무역,46400,-650,-1.38,105555,2056052115200,12.7,4.11
002380,KCC,229000,-4500,-1.93,38354,2035001859000,0.6,8.05
007660,이수페타시스,31800,-500,-1.55,2802563,2011236124200,9.2,28.67
010060,OCI홀딩스,100200,-1900,-1.86,45080,1985234043000,15.1,1.88
145020,휴젤,159400,3400,2.18,78867,1974241527000,7.4,20.94
005290,동진쎄미켐,37650,150,0.4,315500,1935755699100,9.2,14.27
000880,한화,25650,400,1.58,209307,1922691552750,1.1,4.68
047040,대우건설,4515,0,0.0,948170,1876536210570,4.9,3.39
009420,한올바이오파마,35750,-700,-1.92,379731,1867602808500,3.7,281.98
095340,ISC,88000,-1700,-1.9,262499,1865341104000,4.4,378.11
298040,효성중공업,194400,-5300,-2.65,63545,1812692131200,2.9,18.0
026960,동서,18150,-120,-0.66,35500,1809555000000,9.3,8.45
017800,현대엘리베이,45950,200,0.44,39936,1796295090750,14.1,4.93
298050,효성첨단소재,396000,6000,1.54,10744,1774059408000,2.5,29.98
006110,삼아알미늄,118900,4200,3.66,60058,1749246812400,1.7,188.33
112040,위메이드,51600,-1600,-3.01,567828,1743923239200,-8.3,-6.27
004170,신세계,173900,-500,-0.29,18082,1712076975900,2.5,5.03
240810,원익IPS,34850,-150,-0.43,111893,1710573949850,-2.5,54.25
204320,HL만도,36100,100,0.28,131386,1695152032000,2.5,21.13
298020,효성티앤씨,388000,6500,1.7,21257,1679140616000,2.0,20.66
036930,주성엔지니어링,34800,400,1.16,767524,1679072577600,1.2,45.62
253450,스튜디오드래곤,55800,300,0.54,72872,1677264188400,5.1,42.42
073240,금호타이어,5770,180,3.22,806556,1657491855990,2.0,-1421.11
000080,하이트진로,23150,0,0.0,124323,1623593094650,1.6,77.75
035760,CJ ENM,72900,2900,4.14,211650,1598635326600,-3.4,-4.91
000250,삼천당제약,68200,-3400,-4.75,1130221,1595097677800,-0.4,-2188.96
007310,오뚜기,396000,2000,0.51,3335,1587100680000,5.0,4.89
086900,메디톡스,215000,0,0.0,27447,1569170620000,2.6,169.63
042670,HD현대인프라코어,7710,30,0.39,1023185,1538942622630,9.5,7.33
006040,동원산업,33050,1450,4.59,44173,1536252078250,4.1,7.13
051600,한전KPS,34000,0,0.0,56166,1530000000000,9.9,10.02
011210,현대위아,55900,-500,-0.89,113739,1520205139700,0.6,-14.61
003230,삼양식품,201500,6600,3.39,76241,1517902522500,12.8,15.66
005850,에스엘,32550,-850,-2.54,115852,1511899326000,11.6,5.56
108320,LX세미콘,92800,-100,-0.11,64085,1509327040000,6.3,19.74
004000,롯데정밀화학,58500,-200,-0.34,39258,1509300000000,13.9,6.57
185750,종근당,119400,-1100,-0.91,116401,1500674601600,14.0,8.67
001440,대한전선,11970,0,0.0,328143,1489634181000,2.7,33.17
003620,KG모빌리티,7840,-60,-0.76,167838,1465735228160,2.8,39.37
121600,나노신소재,120400,200,0.17,57791,1464049311200,5.4,140.7
006360,GS건설,16970,240,1.43,1093733,1452317885300,-0.8,-4.78
214370,케어젠,27000,-250,-0.92,81004,1450305000000,17.8,55.54
375500,DL이앤씨,37300,200,0.54,78484,1443272137900,2.9,5.79
005300,롯데칠성,155200,2100,1.37,15712,1440082796800,4.4,9.4
004800,효성,67600,600,0.9,24972,1424401290000,0.2,-118.34
067310,하나마이크론,29650,250,0.85,1996364,1420882971100,4.3,-161.69
248070,솔루엠,28350,500,1.8,583738,1417657370850,14.9,12.91
139130,DGB금융지주,8360,-10,-0.12,235190,1414059163880,0.7,2.89
005420,코스모화학,36400,-400,-1.09,122144,1398059499200,-1.1,-138.29
000150,두산,84600,900,1.08,136919,1397916441000,2.1,-2.74
393890,더블유씨피,41250,-250,-0.6,89449,1389981367500,6.2,36.14
018670,SK가스,149200,1200,0.81,6677,1377152404800,6.5,3.27
002710,TCC스틸,51900,1800,3.59,200648,1360490874300,-7.3,-1425.47
336260,두산퓨얼셀,20750,-300,-1.43,326400,1358994814500,0.3,283.6
137310,에스디바이오센서,10900,-20,-0.18,166182,1356803147700,-13.9,-1.77
001740,SK네트웍스,5730,0,0.0,128090,1351009458450,0.4,28.55
145720,덴티움,121900,-3200,-2.56,59631,1349290377000,11.1,22.07
006280,녹십자,115200,-800,-0.69,31408,1346289177600,-0.1,683.81
025900,동화기업,66300,-100,-0.15,45223,1340280688500,-2.9,-43.11
192820,코스맥스,114300,-5300,-4.43,170589,1297248878700,3.6,33.8
353200,대덕전자,26200,200,0.77,443052,1294723435000,2.2,32.53
034230,파라다이스,14060,-60,-0.42,381073,1290132594500,3.4,22.01
237690,에스티팜,68500,-200,-0.29,34883,1288401087500,1.5,81.21
069620,대웅제약,110100,-200,-0.18,16270,1275681907500,4.7,21.75
000240,한국앤컴퍼니,13150,60,0.46,86797,1248398406000,3.1,12.16
078600,대주전자재료,80000,-800,-0.99,47810,1238447440000,-0.2,-308.83
069960,현대백화점,52700,-500,-0.94,81710,1233308640700,1.6,10.46
048410,현대바이오,30800,-500,-1.6,492971,1226148246400,-13.3,-66.55
280360,롯데웰푸드,129000,1500,1.18,22852,1217060046000,0.6,28.86
141080,레고켐바이오,45850,-600,-1.29,131184,1216992606900,-33.9,-15.14
365340,성일하이텍,100300,-200,-0.2,32996,1205224860000,9.4,43.11
120110,코오롱인더,43650,-600,-1.36,85265,1201208322150,2.2,13.18
009240,한샘,50500,300,0.6,9203,1188463364000,-3.3,-12.06
195940,HK이노엔,41550,-550,-1.31,138109,1177106971050,2.0,25.5
213420,덕산네오룩스,47350,-100,-0.21,93059,1175756325650,9.4,32.84
065350,신성델타테크,42700,3550,9.07,4320471,1173564579600,6.3,15.43
140860,파크시스템스,168400,3100,1.88,28326,1172932775600,11.9,37.16
001120,LX인터내셔널,30050,550,1.86,235581,1164738000000,4.5,5.04
222800,심텍,36050,350,0.98,151549,1148341855150,-5.0,-27.38
214450,파마리서치,111200,-1000,-0.89,116013,1146746664000,13.7,26.18
137400,피엔티,50100,600,1.21,119868,1139334019800,4.0,33.52
064760,티씨케이,96500,500,0.52,29582,1126637500000,13.5,17.4
161890,한국콜마,49000,100,0.2,166047,1121177820000,3.3,-161.6
328130,루닛,90300,-3200,-3.42,491559,1118004661200,-36.7,-60.21
101490,에스앤에스텍,52100,4850,10.26,1613266,1117620388700,11.2,39.42
285130,SK케미칼,64700,100,0.15,21457,1116319760100,1.9,9.68
096530,씨젠,21150,-400,-1.86,125116,1104579773100,-0.1,-119.63
093370,후성,11700,70,0.6,276139,1103919616800,-4.4,34.26
003690,코리안리,7770,50,0.65,311405,1094194236030,3.8,2.9
009970,영원무역홀딩스,80000,2300,2.96,6754,1090847360000,12.6,2.64
395400,SK리츠,4035,-10,-0.25,209078,1089985359765,,
140410,메지온,36500,50,0.14,112885,1079939698500,-15.2,-46.22
440110,파두,22150,2000,9.93,3303967,1078505716450,-26.7,
225570,넥슨게임즈,16140,-190,-1.16,263189,1061798467800,6.4,49.0
056190,에스에프에이,29450,-250,-0.84,63369,1057512982000,1.9,22.07
006650,대한유화,161800,500,0.31,14596,1051700000000,-4.0,-5.48
348370,엔켐,63700,400,0.63,127585,1036285677700,2.9,-1082.99
278280,천보,103300,-100,-0.1,20393,1033000000000,-5.1,-36.03
103140,풍산,36650,350,0.96,111519,1027089788700,4.7,5.91
122870,와이지엔터테인먼트,54700,800,1.48,318910,1021780082300,13.1,16.3
009900,명신산업,19400,60,0.31,331239,1017920580200,17.4,6.89
000210,DL,48000,-150,-0.31,23730,1005882432000,-1.9,-8.55
009520,포스코엠텍,24150,-450,-1.83,324510,1005671277450,3.8,-3609.2
084370,유진테크,43250,700,1.65,217926,991118816500,6.4,49.71
294870,HDC현대산업개발,14960,220,1.49,824752,985973656800,2.2,4.56
001800,오리온홀딩스,15700,-90,-0.57,55457,983533125400,5.2,10.55
089860,롯데렌탈,26650,-100,-0.37,18572,976297778950,2.2,10.95
383310,에코프로에이치엔,63600,-2100,-3.2,212750,973393675200,19.6,21.91
003090,대웅,16620,0,0.0,304165,966319707600,8.9,5.94
100090,SK오션플랜트,15980,-10,-0.06,142231,945945176640,6.4,22.22
267270,HD현대건설기계,47750,150,0.32,155469,940712865750,8.0,9.38
067630,HLB생명과학,9170,0,0.0,277881,933627511670,1.9,-22.12
298380,에이비엘바이오,19490,240,1.25,334327,933425585110,7.3,-114.02
016790,카나리아바이오,5390,-280,-4.94,2314864,931358608950,-12.7,-3.58
000670,영풍,505000,-3000,-0.59,489,930230200000,1.6,4.28
085620,미래에셋생명,5240,40,0.77,215665,927564830360,0.8,5.08
085660,차바이오텍,16400,10,0.06,218027,923556865200,1.3,-32.36
014820,동원시스템즈,31850,300,0.95,8465,923372331700,4.6,12.62
287410,제이시스메디칼,12040,-10,-0.08,347814,920691636200,22.5,33.32
105630,한세실업,22950,-600,-2.55,109795,918000000000,10.1,8.43
166090,하나머티리얼즈,46000,-1600,-3.36,322613,908623004000,8.9,
001430,세아베스틸지주,25250,-300,-1.17,140130,905518504750,4.7,7.92
195870,해성디에스,53000,900,1.73,122427,901000000000,17.1,7.89
069260,TKG휴켐스,21900,-100,-0.45,60738,895241077200,15.4,
039130,하나투어,54900,1500,2.81,148486,880551256500,11.9,84.67
012510,더존비즈온,28950,0,0.0,34218,879581596800,3.8,38.62
300720,한일시멘트,12690,-10,-0.08,34314,878928942600,6.5,7.13
091120,이엠텍,51300,300,0.59,78045,878919616800,-1.7,379.82
420770,기가비스,69200,800,1.17,111185,877162453600,25.2,
089590,제주항공,11390,-340,-2.9,190795,876958368290,7.7,6.92
131970,두산테스나,59400,1000,1.71,374969,876718873800,6.0,12.44
178920,PI첨단소재,29850,150,0.51,34244,876584711700,-0.4,135.8
114090,GKL,14160,10,0.07,166817,875876287200,8.9,30.3
456040,OCI,115900,3700,3.3,29203,861916891100,,
008730,율촌화학,34700,550,1.61,55426,860560000000,-1.7,-73.45
010780,아이에스동서,27800,-400,-1.42,30088,858814446800,7.0,4.18
271940,일진하이솔루스,23600,200,0.85,15373,856991284000,0.8,230.21
457190,이수스페셜티케미컬,152300,2300,1.53,86316,852693127900,,
036540,SFA반도체,5160,-30,-0.58,422312,848615163480,-1.6,-61.04
214320,이노션,42350,-350,-0.82,35400,847000000000,5.0,7.98
336370,솔루스첨단소재,24100,-150,-0.62,37508,846179799500,-6.1,-41.82
376300,디어유,35600,-800,-2.2,105602,845087253600,17.5,46.72
001530,DI동일,32400,100,0.31,95625,843717934800,0.7,53.6
192080,더블유게임즈,46300,300,0.65,34253,842232049100,15.5,-32.74
336570,원텍,9500,250,2.7,1856770,837652192500,36.2,29.28
204270,제이앤티씨,14400,-400,-2.7,510892,833017910400,1.1,-12.34
002350,넥센타이어,8520,130,1.55,299499,832130312040,3.0,9.79
372170,윤성에프앤씨,103900,-2100,-1.98,49216,829023087200,5.0,
066575,LG전자우,47900,-200,-0.42,16542,823209016800,,10.27
098460,고영,11990,-20,-0.17,245528,823170512450,8.3,34.43
003380,하림지주,7340,240,3.38,748717,822121258140,1.8,3.36
348950,제이알글로벌리츠,4145,0,0.0,80289,818123520000,,
016380,KG스틸,8170,0,0.0,362255,817072688490,7.1,1.78
281740,레이크머티리얼즈,12400,1080,9.54,1304028,815058795200,11.4,43.77
189300,인텔리안테크,75900,-100,-0.13,77595,814660050600,2.3,114.32
192650,드림텍,11790,400,3.51,883862,809023044330,4.4,112.56
003030,세아제강지주,194700,1800,0.93,3769,806380617900,13.1,2.85
418550,제이오,25600,-900,-3.4,160452,802208588800,8.8,71.19
020560,아시아나항공,10770,-210,-1.91,139025,801414698280,-0.7,4.16
448280,에코아이,80900,18600,29.86,8899125,799052778700,38.9,
023590,다우기술,17770,10,0.06,8038,797279784090,1.8,1.66
181710,NHN,22800,0,0.0,27271,796556349600,2.6,48.65
032350,롯데관광개발,10500,-400,-3.67,674306,795078280500,-12.8,-4.61
002840,미원상사,163400,0,0.0,769,792490000000,13.3,13.74
064550,바이오니아,30550,-1250,-3.93,258314,788504390050,2.6,-244.98
290650,엘앤씨바이오,34750,600,1.76,179927,788299962250,29.4,14.26
330590,롯데리츠,3230,10,0.31,84072,784789495320,,
025540,한국단자,75200,400,0.53,29846,783208000000,5.5,10.14
365550,ESR켄달스퀘어리츠,3620,55,1.54,140472,771382180000,,
006120,SK디스커버리,40300,50,0.12,15724,767225556500,2.0,1.73
222080,씨아이에스,10910,-90,-0.82,330567,765755269440,1.3,93.82
033290,코웰패션,8600,200,2.38,673557,761102012400,3.7,12.99
036830,솔브레인홀딩스,36100,-200,-0.55,54240,756802421600,7.7,6.32
004490,세방전지,53900,-200,-0.37,11726,754600000000,6.2,10.15
082640,동양생명,4615,60,1.32,76361,744669869775,1.1,3.53
067160,아프리카TV,64200,-800,-1.23,245796,737964041400,16.2,14.07
003540,대신증권,14530,20,0.14,31747,737737502000,1.1,14.61
058610,에스피지,33200,1700,5.4,2677042,736288352000,5.1,40.96
000400,롯데손해보험,2370,-80,-3.27,717647,735497078400,1.4,228.65
039200,오스코텍,19220,-370,-1.89,172929,730051672760,-14.2,-41.36
015750,성우하이텍,9070,100,1.11,996555,725600000000,2.6,16.42
090460,비에이치,20950,-200,-0.95,354030,722028740050,4.8,8.4
074600,원익QnC,27400,350,1.29,274251,720291200000,4.5,30.69
005250,녹십자홀딩스,15150,-100,-0.66,18273,712477381500,-2.8,144.06
001680,대상,20500,100,0.49,60905,710284512500,2.7,7.97
007340,DN오토모티브,70700,-900,-1.26,8686,706576153500,6.1,3.64
215200,메가스터디교육,59700,1600,2.75,50919,698160097800,11.3,5.95
009450,경동나비엔,47900,-350,-0.73,61669,697835556800,8.2,13.6
178320,서진시스템,18520,90,0.49,230526,695993489840,-2.9,1570.74
003850,보령,10100,200,2.02,246481,693769000000,5.1,14.73
058970,엠로,61800,1200,1.98,126475,692909016000,-33.8,-56.86
019170,신풍제약,13060,20,0.15,88872,691983969400,-8.6,-20.69
348210,넥스틴,67800,2100,3.2,157066,691348328400,31.3,17.17
001060,JW중외제약,30150,400,1.34,294692,688476335400,2.8,37.3
053800,안랩,68400,900,1.33,58386,684947682000,6.4,20.98
003240,태광산업,614000,-2000,-0.32,138,683627600000,1.7,2.14
268280,미원에스씨,136700,-1200,-0.87,2297,683500000000,3.9,26.06
272290,이녹스첨단소재,33800,-900,-2.59,156524,682816040400,8.8,16.8
082740,HSD엔진,9520,550,6.13,1503037,681098822880,1.2,443.38
079160,CJ CGV,5540,-40,-0.72,527376,678269318900,-5.5,-5.18
086450,동국제약,15250,-280,-1.8,191552,678015000000,6.7,13.71
018290,브이티,18910,-1340,-6.62,3293780,676940312370,10.7,51.66
344820,KCC글라스,41650,-50,-0.12,16275,665171824800,3.8,8.2
007700,F&F홀딩스,16790,150,0.9,18254,656730221930,11.0,4.3
310210,보로노이,38100,-850,-2.18,72738,653498934300,-33.9,-26.71
078340,컴투스,50100,-100,-0.2,38194,644607642000,3.8,15.73
087010,펩트론,31250,-600,-1.88,339397,644589156250,-26.8,-15.78
210980,SK디앤디,28800,1200,4.35,340439,639076723200,13.4,3.63
064960,SNT모티브,43700,-150,-0.34,20454,639031043200,9.3,6.7
017960,한국카본,12200,200,1.67,266452,633283114400,1.6,38.81
272450,진에어,12110,-150,-1.22,84359,632142000000,17.6,10.78
950160,코오롱티슈진,8670,-180,-2.03,29535,630356641650,-14.1,-59.22
005440,현대지에프홀딩스,3850,50,1.32,180336,625238968200,32.9,0.31
060280,큐렉소,15100,310,2.1,555455,618435449000,5.0,392.68
031980,피에스케이홀딩스,28550,0,0.0,408286,615606377250,8.3,11.96
025980,아난티,6710,-90,-1.32,647365,614306619520,17.5,4.93
049770,동원F&B,31700,250,0.79,33314,611671154000,5.5,5.09
950210,프레스티지바이오파마,10170,40,0.39,32648,611177896350,-0.5,31.84
095660,네오위즈,27600,-200,-0.72,135086,608130644400,8.8,115.96
031430,신세계인터내셔날,16980,130,0.77,44102,606186000000,4.5,7.03
183300,코미코,57800,2100,3.77,126885,604627535200,5.6,19.68
319660,피에스케이,20850,0,0.0,117743,603955986900,5.6,12.55
192400,쿠쿠홀딩스,16980,80,0.47,29424,603845901300,11.8,4.86
000070,삼양홀딩스,70500,100,0.14,6109,603781105500,6.4,3.51
215000,골프존,95000,0,0.0,17949,596164425000,15.6,8.24
099190,아이센스,21600,100,0.47,210548,594394696800,3.0,88.24
000815,삼성화재우,185800,0,0.0,4938,593073600000,,6.85
161000,애경케미칼,12060,-120,-0.99,636136,586703430540,3.2,43.75
003530,한화투자증권,2710,-30,-1.09,466319,581424470250,0.6,-15.09
000640,동아쏘시오홀딩스,91500,-1800,-1.93,12387,580925539500,3.3,14.25
352480,씨앤씨인터내셔널,57700,-2700,-4.47,88689,577804395700,16.2,21.09
